TICKER;PRECO;ULTIMO DIVIDENDO;DY;VALOR PATRIMONIAL COTA;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO; N COTAS
RECX11;67,99;0,600000;0,00;72,48;0,94;0,00;17,45;-12,46;0,65;15.823.826,78;577,00;Ativa;218.313,00
REIT11;110,49;7,270000;9,21;307,61;0,36;778,00;4,80;-41,73;;8.087.454,61;61,00;;26.291,00
RELG11;65,26;0,800000;13,71;85,50;0,76;74.149,32;2,43;-1,54;1,86;114.100.948,74;4.079,00;;1.334.562,00
RENV11;6,78;0,080000;6,14;14,35;0,47;7.837,16;2,27;;;14.735.750,11;536,00;;1.026.794,00
RFOF11;63,84;0,650000;12,22;72,61;0,88;173.508,00;7,94;-3,28;8,88;55.705.327,68;3.284,00;;767.207,00
RINV11;108,35;1,350000;11,91;101,98;1,06;572.698,37;8,68;-4,37;;400.483.944,29;4.104,00;;3.927.060,00
RJDA11;100,00;;0,00;;;1.425,25;;;;;;;0,00
RMAI11;39,99;0,270000;15,75;110,49;0,36;35.500,50;0,66;18,25;-0,67;560.577.455,58;1.095,00;;5.073.615,00
RNDP11;40,50;0,690000;3,41;0,00;;14.794,00;;-33,42;17,59;0,00;0,00;Ativa;0,00
RNGO11;51,71;0,290000;7,81;83,37;0,62;56.692,11;1,18;-5,58;13,13;223.098.087,31;7.020,00;;2.676.000,00
ROOF11;350,00;41,715400;0,00;320,82;1,09;350,00;8,36;;-9,47;24.862.154,32;80,00;;77.495,00
RPRI11;86,64;1,235000;14,58;100,14;0,87;370.133,53;2,85;-0,69;11,47;347.667.987,41;4.336,00;;3.471.728,00
RRCI11;80,25;2,343588;12,45;81,08;0,99;1.117.810,71;18,67;0,41;10,54;39.060.322,21;1.411,00;;481.757,00
RSPD11;850,00;3,019911;15,93;886,53;0,96;123.025,82;9,28;;;132.102.689,40;146,00;;149.011,00
RTEL11;0,00;;0,00;70,64;;;21,11;;;24.527.706,19;571,00;;347.200,00
RZAK11;83,52;1,100000;15,09;87,34;0,96;1.646.344,11;4,33;-0,70;10,61;769.306.839,72;45.037,00;;8.807.885,00
RZAT11;89,02;0,850000;12,58;101,04;0,88;735.154,58;4,31;1,14;1,11;427.918.916,81;34.755,00;;4.235.042,00
RZDM11;550,16;2,900000;0,00;63,81;8,62;;3,50;;;118.155.565,38;8.102,00;;1.851.786,00
RZLC11;1.006,07;13,099221;14,40;999,21;1,01;712.997,16;0,48;;;49.960.483,91;110,00;;50.000,00
RZTR11;97,09;1,000000;12,67;94,62;1,03;3.280.486,11;5,15;1,39;13,87;1.783.796.877,14;147.152,00;;18.851.720,00
RZZI11;1.000,00;7,183000;1,16;1.011,47;0,99;2.000.000,00;2,10;;;112.820.796,58;116,00;;111.541,00
